no,nomor_ruas,nama_ruas,lingkungan,kelurahan,kecamatan,panjang,lebar,kondisi_jalan,perkerasan,prosentase_kerusakan,keterangan_utilitas,kubikasi_ruas
444,"1,396",JALAN MAGERSARI 2,NGEBRAK,TAWANGSARI,GARUM,108.44,4.5,Baik,Paving,0,Terdapat 1 saluran air disebelah kanan ruas,2439.9
445,"1,394",JALAN KARANGSARI 4,NGEBRAK,TAWANGSARI,GARUM,143.9,2.5,Sedang,Beton,20,terdapat saluran air di sebelah kiri,1798.75
446,505,JALAN CHAIRUSSALEH,SUMBERDIREN,SUMBERDIREN,GARUM,153.95,2,Baik,Paving,0,Terdapat saluran air di sebelah kiri ruas jalan,1539.5
447,"1,397",JALAN MAGERSARI 3,NGEBRAK,TAWANGSARI,GARUM,124.05,4,Baik,Paving,0,Terdapat 1 saluran air disebelah kanan ruas,2481
448,510,JALAN AHMAD SUBARJO,SUMBERDIREN,SUMBERDIREN,GARUM,148.54,3,Baik,Paving,0,Terdapat saluran air di sebelah kanan ruas jalan,2228.1
449,507,JALAN SUTOMO,SUMBERDIREN,SUMBERDIREN,GARUM,142.12,3,Rusak Ringan,Paving,40,Terdapat saluran air di tengah ruas jalan,2131.8
450,"1,393",JALAN KARANGSARI 3,NGEBRAK,TAWANGSARI,GARUM,194.73,2.5,Baik,Paving,0,tidak ada saluran air,2434.125
451,511,JALAN AHMAD SUBARJO,SUMBERDIREN,SUMBERDIREN,GARUM,81.62,2,Baik,Paving,0,Terdapat saluran air di sebelah kanan ruas jalan,816.2
452,512,JALAN KARTINI,SUMBERDIREN,SUMBERDIREN,GARUM,54.67,2,Baik,Paving,0,Tidak terdapat saluran air,546.7
453,586,RT. 05 RW. 03,GARUM,GARUM,GARUM,238.71,2.5,Sedang,Beton,20,Terdapat 1 saluran air di sebelah kiri ruas,2983.875
454,508,JALAN COKROAMINOTO,SUMBERDIREN,SUMBERDIREN,GARUM,196.98,3,Sedang,Paving,45,Saluran air sebelah kanan,2954.7
455,509,JALAN BUNG HATTA,SUMBERDIREN,SUMBERDIREN,GARUM,146.28,2,Sedang,Paving,50,Terdapat saluran air di sebelah kanan ruas jalan,1462.8
456,585,RT. 06 RW. 03,GARUM,GARUM,GARUM,174.1,2,Baik,Paving,0,terdapat saluran air di sebelah kanan,1741
457,513,JALAN DEWI SARTIKA,DADAPAN,SUMBERDIREN,GARUM,60.74,3,Baik,Paving,0,Tidak terdapat saluran air,911.1
458,876,JLN MURATANAN,GLONDONG,SATREYAN,KANIGORO,461.41,3,Sedang,Lapen,50,Terdapat saluran air di sebelah kiri ruas jalan,6921.15
459,900,JLN GG SAWAH,SEMBON,SATREYAN,KANIGORO,256.03,1.5,Rusak Berat,Tanah,100,Tidak terdapat saluran air,1920.225
460,784,JL RAYA KOTA BARU,BANJARJO,KANIGORO,KANIGORO,142.48,6,Sedang,HotMix,50,Saluran air di kanan dan kiri jalan,4274.4
461,901,JLN GG MUTANAN,SEMBON,SATREYAN,KANIGORO,305.26,3,Sedang,Beton,50,Terdapat saluran air di tengah ruas jalan dan kiri ruas jalan,4578.9
462,785,JL. SEMERU,BANJARJO,KANIGORO,KANIGORO,177.75,3,Rusak Ringan,Lapen,15,Saluran air di kanan jalan,2666.25
463,783,JL RAYA KOTA BARU,BANJARJO,KANIGORO,KANIGORO,125.46,6,Rusak Ringan,HotMix,10,Saluran air di kanan dan kiri jalan,3763.8
464,878,JLN RT 02 RW 08 B,SEMBON,SATREYAN,KANIGORO,48.33,4,Sedang,Beton,50,Terdapat saluran air di sebelah kiri ruas jalan,966.6
465,776,JL. BANJARSARI GG III,BANJARSARI,KANIGORO,KANIGORO,167.05,3,Rusak Ringan,HotMix,20,Saluran air di kanan dan kiri jalan,2505.75
466,879,JLN GG AHMAD YANI,SEMBON,SATREYAN,KANIGORO,141.89,2,Rusak Berat,Tanah,100,Terdapat saluran air di tengah ruas jalan,1418.9
467,790,JL BANJARSARI GG II B,BANJARSARI,KANIGORO,KANIGORO,181.2,2,Rusak Berat,Beton,70,Saluran air tertutup di tengah jalan,1812
468,793,JL BANJARSARI GG II,BANJARSARI,KANIGORO,KANIGORO,44.58,2,Rusak Ringan,Beton,10,Saluran air di kanan jalan,445.8
469,877,JLN RT 02 RW 08,SEMBON,SATREYAN,KANIGORO,99.77,4,Sedang,Beton,50,Terdapat saluran air di sebelah kiri ruas jalan,1995.4
470,792,JL BANJARSARI GG II C,BANJARSARI,KANIGORO,KANIGORO,88.95,2,Sedang,Beton,40,Saluran air di kanan jalan,889.5
471,897,JLN PANDOWO III,SEMBON,SATREYAN,KANIGORO,104.12,3,Sedang,Paving,60,Terdapat saluran air di sebelah kanan ruas jalan,1561.8
472,872,JLN RT 01 RW 07,GLONDONG,SATREYAN,KANIGORO,78.95,1.5,Sedang,Paving,20,tidak ada saluran air,592.125
473,864,JLN GG RT 01 RW 07,GLONDONG,SATREYAN,KANIGORO,111.69,3,Rusak Ringan,Beton,35,Tidak ada saluran air,1675.35
474,895,JLN PANDOWO,SEMBON,SATREYAN,KANIGORO,375.42,4,Sedang,Lapen,50,Terdapat saluran air di sebelah kanan ruas jalan,7508.4
475,869,JLN RT 01 RW 07,GLONDONG,SATREYAN,KANIGORO,144.63,2.5,Sedang,Beton,20,Tidak ada saluran air,1807.875
476,868,JLN RT 01 RW 07,GLONDONG,SATREYAN,KANIGORO,145.93,2.5,Sedang,Beton,20,Tidak ada saluran air,1824.125
477,,,,,,0,0,,,,,0
478,898,JLN MAWAR,SEMBON,SATREYAN,KANIGORO,101.43,5,Sedang,HotMix,50,Terdapat saluran di sebelah kanan ruas jalan,2535.75
479,791,JL BANJARSARI GG II A,BANJARSARI,KANIGORO,KANIGORO,135,3.5,Rusak Ringan,HotMix,5,Saluran air di kanan dan kiri jalan,2362.5
480,865,JLN RT 01 RW 07,GLONDONG,SATREYAN,KANIGORO,150.34,2.5,Baik,Beton,0,Tidak ada saluran air,1879.25
481,775,JL. BANJARSARI II,BANJARSARI,KANIGORO,KANIGORO,149.23,3,Rusak Ringan,HotMix,5,Saluran air di kanan jalan,2238.45
482,870,JLN RT 01 RW 07,GLONDONG,SATREYAN,KANIGORO,63.61,2.7,Sedang,Beton,20,tidak ada saluran air,858.735
483,774,JL . BANJARSARI GG I,BANJARSARI,KANIGORO,KANIGORO,84.24,3,Rusak Ringan,HotMix,5,Saluran air tertutup di kanan dan kiri jalan,1263.6
484,862,JLN RT 03 RW 07,GLONDONG,SATREYAN,KANIGORO,88.1,2.5,Baik,HotMix,0,Terdapat 2 saluran air tertutup,1101.25
485,899,JLN GG ARIFUL,SEMBON,SATREYAN,KANIGORO,96.51,3,Sedang,Beton,50,Tidak terdapat saluran air,1447.65
486,789,JL BANJARSARI GG 1,BANJARSARI,KANIGORO,KANIGORO,115.53,2,Rusak Berat,Beton,30,Saluran air di kanan jalan,1155.3
487,856,JLN RT 02 / 07,GLONDONG,SATREYAN,KANIGORO,98.69,2.5,Baik,HotMix,0,Terdapat 2 saluran air tertutup dikanan dan kiri ruas,1233.625
488,871,JLN RT 01 RW 07,GLONDONG,SATREYAN,KANIGORO,85.65,2,Sedang,Beton,15,tidak ada saluran air,856.5
489,782,JL BANJARSARI,BANJARSARI,KANIGORO,KANIGORO,153.03,3,Rusak Ringan,HotMix,5,Saluran air tertutup di kanan jalan,2295.45
490,829,JLN MAWAR,SAWAHAN,SATREYAN,KANIGORO,388.28,4,Sedang,HotMix,50,Tidak terdapat saluran air,7765.6
491,781,JL. RT2 RW3,KANIGORO,KANIGORO,KANIGORO,84.08,2.5,Rusak Ringan,Beton,10,Tidak ada saluran air,1051
492,866,JLN GG RT 03 RW 07,GLONDONG,SATREYAN,KANIGORO,55.61,2,Sedang,Beton,35,Tidak ada saluran air,556.1
493,860,JLN RT 03 RW 07,GLONDONG,SATREYAN,KANIGORO,82.44,2,Rusak Ringan,Beton,60,tidak ada saluran air,824.4
494,886,JLN PANDOWO GG II,SEMBON,SATREYAN,KANIGORO,108.4,3,Sedang,Beton,50,Terdapat saluran air di sebelah kanan ruas jalan,1626
495,863,JLN RT 03 07,GLONDONG,SATREYAN,KANIGORO,137.54,2.5,Baik,HotMix,0,Terdapat 2 saluran air tertutup,1719.25
496,861,JLN GG RT 03 RW 07,GLONDONG,SATREYAN,KANIGORO,81.52,2,Rusak Ringan,Beton,50,tidak ada saluran air,815.2
497,867,JLN RT 03 RW 07,GLONDONG,SATREYAN,KANIGORO,96.66,2,Sedang,Beton,20,tidak ada saluran air,966.6
498,896,JLN PANDOWO I,SEMBON,SATREYAN,KANIGORO,58.1,3,Sedang,Paving,50,Terdapat saluran air di sebelah kanan ruas jalan,871.5
499,780,JL. KUSUMA BANGSA GG 1,KANIGORO,KANIGORO,KANIGORO,100.41,2.5,Sedang,Lapen,30,Tidak ada saluran air,1255.125
500,852,JLN RT 03 RW 07 ( MASJID ),GLONDONG,SATREYAN,KANIGORO,68.82,2.3,Sedang,Lapen,15,terdapat dua saluran air sebelah kiri dan sebelah kanan yang tertutup,791.43
501,851,JLN GANG RT 02 RW 07 II,GLONDONG,SATREYAN,KANIGORO,72.26,1.5,Sedang,Beton,20,Tidak ada saluran air,541.95
502,859,JLN RT 02 RW 07,GLONDONG,SATREYAN,KANIGORO,220.46,2.5,Rusak Berat,Lapen,15,Terdapat 2 saluran air,2755.75
503,891,JLN BERKAH V,SEMBON,SATREYAN,KANIGORO,197.96,2,Sedang,Paving,50,Terdapat saluran di sebelah kiri ruas jalan,1979.6
504,778,JL MASJID B,JAJAR,KANIGORO,KANIGORO,107.59,3,Rusak Berat,Lapen,70,Tidak ada saluran air,1613.85
505,889,JLN GG BERKAH I,SEMBON,SATREYAN,KANIGORO,182.57,2,Rusak Berat,Tanah,100,Tidak terdapat saluran air,1825.7
506,857,JLN TRABASAN RT 02 RW 07,GLONDONG,SATREYAN,KANIGORO,94.42,1.5,Sedang,Beton,20,Terdapat 1 saluran aor disebelah kanan ruas,708.15
507,794,JL LAPANGAN,JAJAR,KANIGORO,KANIGORO,208.47,3,Rusak Ringan,HotMix,5,Saluran di kiri jalan,3127.05
508,885,JLN BERKAH IV,SEMBON,SATREYAN,KANIGORO,258.32,2,Rusak Berat,Lapen,80,Terdapat saluran air di sebelah kanan ruas jalan,2583.2
509,887,JLN BERKAH III,SEMBON,SATREYAN,KANIGORO,83.7,3,Sedang,Beton,50,Terdapat saluran air di sebelah kanan ruas jalan,1255.5
510,858,JLN RT 03 RW 07,GLONDONG,SATREYAN,KANIGORO,90.86,2.3,Sedang,Lapen,25,terdapat dua saluran di kiri kanan ruas yang tertutup,1044.89
511,884,JLN BERKAH I,SEMBON,SATREYAN,KANIGORO,280.13,3,Sedang,Lapen,50,Terdapat saluran air di sebelah kanan ruas jalan,4201.95
512,883,JLN ANUGERAH,SEMBON,SATREYAN,KANIGORO,340.34,3,Sedang,Lapen,50,Terdapat saluran air di sebelah kanan ruas jalan,5105.1
513,855,JLN RT 02 RW 07,GLONDONG,SATREYAN,KANIGORO,299.12,2.5,Sedang,Lapen,15,terdapat saluran air sebelah kanan,3739
514,854,GG I RT 02 RW 07,GLONDONG,SATREYAN,KANIGORO,111.63,2,Rusak Ringan,Lapen,20,Tidak ada saluran air,1116.3
515,880,JLN PRING PETUNG,SEMBON,SATREYAN,KANIGORO,506.08,3,Rusak Berat,Lapen,80,Terdapat saluran air di sebelah kiri ruas jalan,7591.2
516,873,JLN MANUWARI RT 01 RW 07,GLONDONG,SATREYAN,KANIGORO,71.84,2,Baik,Paving,0,Tidak ada saliran air,718.4
517,874,JLN SAWAH,GLONDONG,SATREYAN,KANIGORO,125.06,2.5,Sedang,Beton,10,terdapat saluran air di sebelah kanan,1563.25
518,849,JLN GANG RT 02 RW 07,GLONGON,SATREYAN,KANIGORO,72.76,2,Rusak Berat,Tanah,100,Tidak ada saluran air,727.6
519,787,JL LAPANGAN GG I,JAJAR,KANIGORO,KANIGORO,95.82,3,Rusak Ringan,HotMix,5,Tidak ada saluran air,1437.3
520,881,JLN PRING KUNING I,SEMBON,SATREYAN,KANIGORO,126.27,3,Sedang,Lapen,50,Tidak terdapat saluran air,1894.05
521,853,JLN LINGKUNGAN RT 02 RW 07,GLONDONG,SATREYAN,KANIGORO,83.56,1.5,Rusak Berat,Tanah,100,tidak ada saluran air,626.7
522,875,JLN TPU GLONDONG,GLONDONG,SATREYAN,KANIGORO,190.23,2,Rusak Berat,Beton,100,Tidak ada saluran air,1902.3
523,779,JL GG KUDA,JAJAR,KANIGORO,KANIGORO,220.18,2.5,Rusak Ringan,Beton,10,Tidak ada saluran air,2752.25
524,882,JLN PRING KUNING II,SEMBON,SATREYAN,KANIGORO,100.13,2,Sedang,Lapen,50,Terdapat saluran air di sebelah kiri ruas jalan,1001.3
525,786,JL GG KUDA I,JAJAR,KANIGORO,KANIGORO,49.5,2.5,Rusak Ringan,Beton,15,Tidak ada saluran air,618.75
526,850,JLN RT 02 RW 07,GLONDONG,SATREYAN,KANIGORO,230.39,2.5,Rusak Berat,Paving,100,tidak ada saluran air,2879.875
527,809,JLN BUNG TOMO,SATREYAN,SATREYAN,KANIGORO,266.56,3,Baik,HotMix,0,Terdapat saluran air di sebelah kanan ruas jalan,3998.4
528,777,JALAN MASJID A,JAJAR,KANIGORO,KANIGORO,359.75,3.5,Rusak Berat,Lapen,80,Saluran air di kiri jalan,6295.625
529,810,JLN GG PATIMURA,SATREYAN,SATREYAN,KANIGORO,302.85,3,Baik,HotMix,0,Terdapat saluran air di sebelah kanan ruas jalan,4542.75
530,788,JL SULAWESI GG I,JAJAR,KANIGORO,KANIGORO,90.41,3,Rusak Berat,Lapen,50,Saluran air di kanan jalan,1356.15
531,813,JLN JAWA I,SAWAHAN,SATREYAN,KANIGORO,98.91,2.5,Baik,HotMix,0,Terdapat 1 saluran air disebelah kanan ruas,1236.375
532,814,JLN BALI I,SAWAHAN,SATREYAN,KANIGORO,71.3,2,Baik,HotMix,0,terdapat saluran air di sebelah kanan,713
533,807,JLN ANUGERAH,SATREYAN,SATREYAN,KANIGORO,98.35,3,Sedang,Lapen,50,Terdapat saluran air di sebelah kiri ruas jalan,1475.25
534,818,JLN GANG SULAWESI,SAWAHAN,SATREYAN,KANIGORO,112.91,1.5,Sedang,Paving,20,tidak ada saluran air,846.825
535,803,JLN PATIMURA B,SATREYAN,SATREYAN,KANIGORO,487.67,3,Sedang,Lapen,60,Tidak terdapat saluran air,7315.05
536,815,JLN SUMATRA I,SAWAHAN,SATREYAN,KANIGORO,338.08,2,Sedang,Paving,20,Tidak ada saluran air,3380.8
537,812,JLN SULAWESI,SAWAHAN,SATREYAN,KANIGORO,309.13,2.5,Baik,HotMix,0,Terdapat 1 saluran air di kiri ruas,3864.125
538,817,JLN SULAWESI,SAWAHAN,SATREYAN,KANIGORO,186.71,2,Sedang,Lapen,20,terdapat saluran air di sebelah kanan yang tertutup,1867.1
539,816,JLN SULAWESI I,SAWAHAN,SATREYAN,KANIGORO,100.77,2,Sedang,Paving,25,Tidak ada saluran air,1007.7
540,806,JLN PATIMURA I,SATREYAN,SATREYAN,KANIGORO,323.52,2,Baik,Lapen,0,Terdapat saluran air di sebelah kanan ruas jalan,3235.2
541,808,JLN PRING PETUNG,SATREYAN,SATREYAN,KANIGORO,410.13,3,Sedang,Lapen,50,Terdapat saluran air di sebelah kiri ruas jalan,6151.95
542,797,JLN JAYA RAYA,SATREYAN,SATREYAN,KANIGORO,264.07,3,Rusak Berat,Lapen,70,Saluran air di kiri jalan,3961.05
543,796,JLN JAYA RAYA,SATREYAN,SATREYAN,KANIGORO,190.65,3,Rusak Berat,Lapen,70,Saluran air di kanan jalan,2859.75
544,811,JLN SUMATRA,SATREYAN,SATREYAN,KANIGORO,521.5,2,Sedang,Lapen,20,terdapat saluran air di sebelah kanan yang tertutup,5215
545,795,JLN LAPANGAN,SATREAYAN,SATREYAN,KANIGORO,116.3,3,Sedang,Lapen,30,Tidak ada saluran,1744.5
546,799,JLN DIPONEGORO,SATREYAN,SATREYAN,KANIGORO,172.87,3,Rusak Ringan,Lapen,15,Ada sungai kecil di kanan jalan,2593.05
547,805,JLN PATIMURA,SATREYAN,SATREYAN,KANIGORO,1555.5,2,Sedang,Lapen,50,Terdapat saluran air di sebelah kiri ruas jalan,15555
